GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
locadora,com.example.locadora.exception,AccessDeniedBusinessException,0,4,0,0,0,2,0,1,0,1
locadora,com.example.locadora.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
locadora,com.example.locadora.exception,GlobalExceptionHandler,34,63,2,2,6,13,3,6,2,5
locadora,com.example.locadora.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
locadora,com.example.locadora.config,SecurityConfig,0,76,0,0,0,13,0,6,0,6
locadora,com.example.locadora.config,SecurityMode,0,15,0,0,0,3,0,1,0,1
locadora,com.example.locadora.config,AppSecurityProperties,0,30,0,0,0,10,0,7,0,7
locadora,com.example.locadora.entity,Jogo,0,48,0,0,0,20,0,13,0,13
locadora,com.example.locadora.entity,RoleType,0,15,0,0,0,3,0,1,0,1
locadora,com.example.locadora.entity,LocacaoStatus,0,15,0,0,0,3,0,1,0,1
locadora,com.example.locadora.entity,Locacao,0,62,0,0,0,26,0,17,0,17
locadora,com.example.locadora.entity,Usuario,4,51,0,0,2,21,1,14,1,14
locadora,com.example.locadora.entity,Cliente,4,34,0,0,2,14,1,10,1,10
locadora,com.example.locadora.util,InputSanitizer,0,11,0,2,0,4,0,3,0,2
locadora,com.example.locadora.util,SecurityUtil,0,32,0,4,0,8,0,5,0,3
locadora,com.example.locadora.util,DataProtectionService,30,128,4,4,9,33,4,4,0,4
locadora,com.example.locadora.security,TokenService,68,8,12,0,19,2,9,1,3,1
locadora,com.example.locadora.security,UsuarioSession,15,0,0,0,1,0,1,0,1,0
locadora,com.example.locadora.security,TokenAuthenticationFilter,44,6,4,0,11,3,4,1,2,1
locadora,com.example.locadora.dto,UsuarioRequest,0,18,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,JogoRequest,0,15,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,UsuarioResponse,0,18,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,ClienteRequest,0,15,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,JogoResponse,0,21,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,LocacaoResponse,0,30,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,DevolucaoRequest,0,6,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,LoginResponse,0,12,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,ClienteResponse,0,18,0,0,0,1,0,1,0,1
locadora,com.example.locadora.dto,LocacaoRequest,0,12,0,0,0,1,0,1,0,1
locadora,com.example.locadora,LocadoraApplication,5,3,0,0,2,1,1,1,1,1
locadora,com.example.locadora.controller,ClienteController,0,19,0,0,0,5,0,3,0,3
locadora,com.example.locadora.controller,UsuarioController,0,16,0,0,0,5,0,2,0,2
locadora,com.example.locadora.controller,LocacaoController,0,26,0,0,0,6,0,4,0,4
locadora,com.example.locadora.controller,JogoController,0,33,0,0,0,8,0,5,0,5
locadora,com.example.locadora.controller,AuthController,0,12,0,0,0,4,0,2,0,2
locadora,com.example.locadora.service,LocacaoService,21,163,4,4,2,38,6,4,2,4
locadora,com.example.locadora.service,JogoService,106,39,4,2,27,11,8,5,6,4
locadora,com.example.locadora.service,AuthService,0,59,0,2,0,14,0,4,0,3
locadora,com.example.locadora.service,ClienteService,35,91,2,2,7,22,6,4,4,4
locadora,com.example.locadora.service,UsuarioService,5,82,1,1,1,21,2,2,1,2
locadora,com.example.locadora.service,TokenService,2,61,1,7,1,18,1,7,0,4
locadora,com.example.locadora.service,TokenService.Session,0,12,0,0,0,1,0,1,0,1
